NOC,NumAthletes
United States of America,614
Japan,585
Australia,470
Germany,399
People's Republic of China,398
France,377
Canada,368
Great Britain,366
Italy,354
Spain,324
ROC,318
Brazil,291
Netherlands,272
Republic of Korea,222
New Zealand,202
Poland,195
Argentina,180
South Africa,171
Mexico,155
Hungary,154
